id,value,feed_id,created_at,lat,lon,ele
0F97GDZTE0BNZ60VNN0B67BZNV,58.2,2508395,2023-04-08 23:53:00 UTC,,,
0F97GGVC40F58RPBF2WJQ39P2Z,58.7,2508395,2023-04-08 23:58:00 UTC,,,
0F97GKPXT0AEQDWXMNCYRYNEYJ,58.0,2508395,2023-04-09 00:03:00 UTC,,,
0F97GPJFG06C1ZHGWFQSA11EWY,58.6,2508395,2023-04-09 00:08:00 UTC,,,
0F97GSE160NFS8TJGRGVB7Q2XJ,59.4,2508395,2023-04-09 00:13:00 UTC,,,
0F97GW9JW0M613VYQBCDHBNNBP,62.7,2508395,2023-04-09 00:18:00 UTC,,,
0F97GZ54J01CM5PJC0YKSQR9HX,57.5,2508395,2023-04-09 00:23:00 UTC,,,
0F97H20P80N4DP5NBF2GSAQ76Y,61.1,2508395,2023-04-09 00:28:00 UTC,,,
0F97H4W7Y0QKKBTC3PCHB9BAV3,61.1,2508395,2023-04-09 00:33:00 UTC,,,
0F97H7QSM023PHFK13Z06XT4XT,60.7,2508395,2023-04-09 00:38:00 UTC,,,
0F97HAKBA00WXXQF9J93W3E8C6,59.4,2508395,2023-04-09 00:43:00 UTC,,,
0F97HDEX00AKXM2CARWN4B5VT3,60.7,2508395,2023-04-09 00:48:00 UTC,,,
0F97HGAEP0SCBPD81WG89STGW7,62.2,2508395,2023-04-09 00:53:00 UTC,,,
0F97HK60C0DR6NDG9PE70V5TB2,60.0,2508395,2023-04-09 00:58:00 UTC,,,
0F97HP1J20NG4E1ESG5H5V6TNP,62.5,2508395,2023-04-09 01:03:00 UTC,,,
0F97HRX3R03GYRSNYK31HQ77N8,63.0,2508395,2023-04-09 01:08:00 UTC,,,
0F97HVRNE0X15K32RB488KQJ8Z,63.7,2508395,2023-04-09 01:13:00 UTC,,,
0F97HYM740Q5H5DD4YVAXBSWDA,63.9,2508395,2023-04-09 01:18:00 UTC,,,
0F97J1FRT0T4YQJ7V1MMCWDQ73,59.2,2508395,2023-04-09 01:23:00 UTC,,,
0F97J4BAG0JM781VZR4M7J7S1Z,55.6,2508395,2023-04-09 01:28:00 UTC,,,
0F97J76W601K2SCR2T1MY7FKK6,59.2,2508395,2023-04-09 01:33:00 UTC,,,
0F97JA2DW08XQB42QZ5MPR45RG,59.0,2508395,2023-04-09 01:38:00 UTC,,,
0F97JCXZJ0B0BSEA28H45F3XG2,54.2,2508395,2023-04-09 01:43:00 UTC,,,
0F97JFSH806HSJZT1CGT57KGB1,58.9,2508395,2023-04-09 01:48:00 UTC,,,
0F97JJN2Y02GY6CV3XZRQP3N70,61.7,2508395,2023-04-09 01:53:00 UTC,,,
0F97JNGMM0JAJ7C90W0BAFBMQN,61.0,2508395,2023-04-09 01:58:00 UTC,,,
0F97JRC6A05NP58N5JMTCRMK0Y,63.4,2508395,2023-04-09 02:03:00 UTC,,,
0F97JV7R00G28ZR77GME161Y73,62.1,2508395,2023-04-09 02:08:00 UTC,,,
0F97JY39P0A54BK0075X6FRD7B,62.1,2508395,2023-04-09 02:13:00 UTC,,,
0F97K0YVC0FDDKM0F92VNATYYH,60.7,2508395,2023-04-09 02:18:00 UTC,,,
0F97K3TD20NPWTKNHP6PYXKFBR,56.9,2508395,2023-04-09 02:23:00 UTC,,,
0F97K6NYR0S649KK2CGT4SAMGK,61.3,2508395,2023-04-09 02:28:00 UTC,,,
0F97K9HGE0JDV386X9C2M3GBZJ,60.0,2508395,2023-04-09 02:33:00 UTC,,,
0F97KCD2408PP9B9X73RQ2A8R5,61.6,2508395,2023-04-09 02:38:00 UTC,,,
0F97KF8KT0FQEBGEYXKR3K5RDW,58.4,2508395,2023-04-09 02:43:00 UTC,,,
0F97KJ45G092V246V9WH17AB6P,64.0,2508395,2023-04-09 02:48:00 UTC,,,
0F97KMZQ60WYKTJ60B71VC0SJV,60.7,2508395,2023-04-09 02:53:00 UTC,,,
0F97KQV8W0HDW9TJF3TVJJZ5NK,58.5,2508395,2023-04-09 02:58:00 UTC,,,
0F97KTPTJ01E2SCT7Z900R50TE,56.6,2508395,2023-04-09 03:03:00 UTC,,,
0F97KXJC80APGACHCEQDWMHSMG,59.1,2508395,2023-04-09 03:08:00 UTC,,,
0F97M0DXY0ED4A2ZQW76DSW85Q,57.8,2508395,2023-04-09 03:13:00 UTC,,,
0F97M39FM0Z0P55848CE28BV1F,67.3,2508395,2023-04-09 03:18:00 UTC,,,
0F97M651A0ZBPKBR85DJWVDK78,60.1,2508395,2023-04-09 03:23:00 UTC,,,
0F97M90K00FRADDQ5Y2ADWXCN2,59.4,2508395,2023-04-09 03:28:00 UTC,,,
0F97MBW4P0B7YMPZTXDTGENSFH,58.6,2508395,2023-04-09 03:33:00 UTC,,,
0F97MEQPC0MZ3F7S8RP4CC34EK,59.8,2508395,2023-04-09 03:38:00 UTC,,,
0F97MHK820TMJV3RQ7XF2ZR2GK,59.0,2508395,2023-04-09 03:43:00 UTC,,,
0F97MMESR0R5KF4JHTK5QH4J5T,61.8,2508395,2023-04-09 03:48:00 UTC,,,
0F97MQABE0JHP2D9D5FKQHME2B,63.8,2508395,2023-04-09 03:53:00 UTC,,,
0F97MT5X404YT117TCFQ5AVFFR,60.3,2508395,2023-04-09 03:58:00 UTC,,,
0F97MX1ET02FH8HYPATFSR8VKZ,59.7,2508395,2023-04-09 04:03:00 UTC,,,
0F97MZX0G0X8981W4F9ED6FFQJ,58.5,2508395,2023-04-09 04:08:00 UTC,,,
0F97N2RJ60KN0E45C0P6VMHZHM,58.4,2508395,2023-04-09 04:13:00 UTC,,,
0F97N5M3W042B9ZJ14PZ0F1B8N,61.6,2508395,2023-04-09 04:18:00 UTC,,,
0F97N8FNJ0PQJT2A01APHMJN7X,57.5,2508395,2023-04-09 04:23:00 UTC,,,
0F97NBB780CDM7BK965Y1RF11H,62.1,2508395,2023-04-09 04:28:00 UTC,,,
0F97NE6RY0BRSHX7B1G7HEVX8J,59.3,2508395,2023-04-09 04:33:00 UTC,,,
0F97NH2AM0JC5AMYHPR7KH0NKK,60.2,2508395,2023-04-09 04:38:00 UTC,,,
0F97NKXWA0A9E91PB1C5K9D2HJ,58.7,2508395,2023-04-09 04:43:00 UTC,,,
0F97NPSE00AX31PFT4K9N2HV2X,60.9,2508395,2023-04-09 04:48:00 UTC,,,
0F97NSMZP0E2KRHNYSDDQA03ZC,57.3,2508395,2023-04-09 04:53:00 UTC,,,
0F97NWGHC0T6AETX4VZRJ1HPXK,58.2,2508395,2023-04-09 04:58:00 UTC,,,
0F97NZC320SMGJAKEZEHERCG88,62.0,2508395,2023-04-09 05:03:00 UTC,,,
0F97P27MR0W3C7DCBFVE97NNTV,60.2,2508395,2023-04-09 05:08:00 UTC,,,
0F97P536E0ANSCAXB2TABXM4AV,60.1,2508395,2023-04-09 05:13:00 UTC,,,
0F97P7YR40GK3G0DRDNRCGW9BX,60.0,2508395,2023-04-09 05:18:00 UTC,,,
0F97PAT9T08WTTFXDH7VQS1ERX,60.6,2508395,2023-04-09 05:23:00 UTC,,,
0F97PDNVG0K69X8XEPAP97NK6G,59.6,2508395,2023-04-09 05:28:00 UTC,,,
0F97PGHD600TRV4EAEJG3KW79R,63.9,2508395,2023-04-09 05:33:00 UTC,,,
0F97PKCYW03E40ZVBPCF017JXH,60.2,2508395,2023-04-09 05:38:00 UTC,,,
0F97PP8GJ05KQ5Y28N0QT7X2VF,63.4,2508395,2023-04-09 05:43:00 UTC,,,
0F97PS4280KZG9WEZX7Z8CWBAC,60.4,2508395,2023-04-09 05:48:00 UTC,,,
0F97PVZKY0AYE796P9TVKHWAE4,64.9,2508395,2023-04-09 05:53:00 UTC,,,
0F97PYV5M0FG79DJT7P2BJPX9G,60.8,2508395,2023-04-09 05:58:00 UTC,,,
0F97Q1PQA0A4KYT6NF1P77T1KV,61.9,2508395,2023-04-09 06:03:00 UTC,,,
0F97Q4J900A3TRRF7P26N5GM0Z,62.4,2508395,2023-04-09 06:08:00 UTC,,,
0F97Q7DTP0WFGP88T0GT1CBFYE,61.7,2508395,2023-04-09 06:13:00 UTC,,,
0F97QA9CC0CRY77YHVV4XQAG63,60.8,2508395,2023-04-09 06:18:00 UTC,,,
0F97QD4Y206WCTHNCBEG3FG3EV,62.8,2508395,2023-04-09 06:23:00 UTC,,,
0F97QG0FR0QRT5CTKH2JQX1N8Q,58.8,2508395,2023-04-09 06:28:00 UTC,,,
0F97QJW1E06NM481KP77GS1401,59.1,2508395,2023-04-09 06:33:00 UTC,,,
0F97QNQK4039HMN94QBQFTF4BS,58.9,2508395,2023-04-09 06:38:00 UTC,,,
0F97QRK4T0P7Z6V98MMMGKGSFR,62.3,2508395,2023-04-09 06:43:00 UTC,,,
0F97QVEPG0KVCH3CN8HY33KDPE,59.4,2508395,2023-04-09 06:48:00 UTC,,,
0F97QYA8608K35KGGCFGJ23CD4,62.2,2508395,2023-04-09 06:53:00 UTC,,,
0F97R15SW0VZ82Q12RG81FGAG5,60.0,2508395,2023-04-09 06:58:00 UTC,,,
0F97R41BJ0YBXAS2FHAWVN2XBP,60.5,2508395,2023-04-09 07:03:00 UTC,,,
0F97R6WX80A2EX2TC2CH3HPBCV,61.1,2508395,2023-04-09 07:08:00 UTC,,,
0F97R9REY0GA8ENECD98MTWXK9,57.9,2508395,2023-04-09 07:13:00 UTC,,,
0F97RCM0M0SD6BTFTBZX0MCDZ7,58.8,2508395,2023-04-09 07:18:00 UTC,,,
0F97RFFJA0T0PGYYGRMDDPV6A8,61.4,2508395,2023-04-09 07:23:00 UTC,,,
0F97RJB4007WW2H78YZASNT86D,60.1,2508395,2023-04-09 07:28:00 UTC,,,
0F97RN6NP0FDH81XSW7J76PTWC,63.9,2508395,2023-04-09 07:33:00 UTC,,,
