id,value,feed_id,created_at,lat,lon,ele
0F8XA0J6Y0YXXV4K4R0ZEEJG77,5,2462390,2023-03-27 07:38:17 UTC,,,
0F8XA0VEV5PANH2FJ2EGJ8A0E6,5,2462390,2023-03-27 07:38:48 UTC,,,
0F8XA14QQQ3RDY3THX1W3PYJTX,11,2462390,2023-03-27 07:39:18 UTC,,,
0F8XA1E0S463QKQHDEDRH2QN8H,12,2462390,2023-03-27 07:39:48 UTC,,,
0F8XA1Q9XKBWJ5SZKBQFYQKDHP,5,2462390,2023-03-27 07:40:19 UTC,,,
0F8XA20J05ZMAKN79P7MGQVVNT,6,2462390,2023-03-27 07:40:49 UTC,,,
0F8XA29TR8TS6GE0S7XP9JXCNZ,7,2462390,2023-03-27 07:41:20 UTC,,,
0F8XA2K3QXVCMXJQJJN3EZ1FF4,7,2462390,2023-03-27 07:41:50 UTC,,,
0F8XA2X0Y2AFFCV0E3ACP8B7H6,12,2462390,2023-03-27 07:42:22 UTC,,,
0F8XA3JPM8E1MFSNDN9KDSRJW6,9,2462390,2023-03-27 07:43:33 UTC,,,
0F8XA3X2KQBXMYKTX46ZKMG8HE,9,2462390,2023-03-27 07:44:07 UTC,,,
0F8XA5MDNX4HS5WDZC7P0TJVQ9,8,2462390,2023-03-27 07:47:09 UTC,,,
0F8XA5MDQZP5AZXN7GKXR8MSQV,10,2462390,2023-03-27 07:47:09 UTC,,,
0F8XA5MDVYN2DRC91A6EMSN480,7,2462390,2023-03-27 07:47:09 UTC,,,
0F8XA5MDWMDP20MK4MZRVA7A7B,6,2462390,2023-03-27 07:47:09 UTC,,,
0F8XA5ME5FCWHS7DQ3ZVNGE9CB,6,2462390,2023-03-27 07:47:09 UTC,,,
0F8XA5ME5TFFEEE6R8R1QEBB4Z,3,2462390,2023-03-27 07:47:09 UTC,,,
0F8XA6EV096CPRT99CPQZ2QZQ8,1,2462390,2023-03-27 07:48:35 UTC,,,
0F8XA6EV3218SYQ4BR9J74VENE,40,2462390,2023-03-27 07:48:35 UTC,,,
0F8XA6EV65TN6B7QWBY7GTZJW6,5,2462390,2023-03-27 07:48:35 UTC,,,
0F8XA6QTW30CE6HKDEWNGHFNZK,5,2462390,2023-03-27 07:49:05 UTC,,,
0F8XA711RCKVZTH9DT76FTA5TN,4,2462390,2023-03-27 07:49:35 UTC,,,
0F8XA7AAT8T7JYABVEPDBJG5F6,4,2462390,2023-03-27 07:50:05 UTC,,,
0F8XA7T8QKVK09C8WMXSPWMYZX,8,2462390,2023-03-27 07:50:58 UTC,,,
0F8XA7WTNW71FZXPM0ENBT646J,7,2462390,2023-03-27 07:51:06 UTC,,,
0F8XA863Z9YGG12NXDG57TBQGM,15,2462390,2023-03-27 07:51:37 UTC,,,
0F8XA8FBQ897C6Z5TJ33XS85WF,14,2462390,2023-03-27 07:52:07 UTC,,,
0F8XA8RMTA8SNCYBMTPBPCR7DG,10,2462390,2023-03-27 07:52:37 UTC,,,
0F8XA91XWYWBESKFPSSTBRR3S6,9,2462390,2023-03-27 07:53:08 UTC,,,
0F8XA9B5WSMFV6ZA84JQZG1NVZ,3,2462390,2023-03-27 07:53:38 UTC,,,
0F8XA9MESBF54QRB505ZNM8FXS,1,2462390,2023-03-27 07:54:08 UTC,,,
0F8XA9XR6M81CXM5CAT499JQDX,2,2462390,2023-03-27 07:54:39 UTC,,,
0F8XAA724BZ1Q26SR8K5EPN7VH,94,2462390,2023-03-27 07:55:09 UTC,,,
0F8XAAGA089YFAZGN030CZ5RTB,22,2462390,2023-03-27 07:55:40 UTC,,,
0F8XAASGSR8QRBY0RDVPJVJWQT,32,2462390,2023-03-27 07:56:10 UTC,,,
0F8XAB2SV25NGQ834PR3JGYG46,27,2462390,2023-03-27 07:56:40 UTC,,,
